(5966,28543)
(6860,29072)
(36281,110768)
(12569,24694)
(110116,110110)
(83287,85078)
(74137,71098)
(76981,70169)
(51032,23542)
(67013,73028)
(75363,17212)
(67663,69768)
(84148,94325)
(105412,102460)
(59447,52291)
(1275,17256)
(77683,69613)
(70795,71184)
(102652,105361)
(19146,485)
(84717,22744)
(52230,62536)
(3290,31654)
(64780,70774)
(63067,103254)
(70177,72483)
(60727,68329)
(71140,68163)
(62969,56826)
(76759,70884)
(22002,89232)
(64569,86022)
(71112,71184)
(102460,104402)
(39124,35939)
(13239,99659)
(70808,70169)
(73497,70510)
(18652,10974)
(73497,68154)
(78514,69948)
(93467,89371)
(14243,64897)
(60105,63785)
(76499,1401)
(85239,83441)
(37486,59867)
(70849,74733)
(78488,77309)
(34082,45059)
(20918,21811)
(36070,41841)
(3920,97434)
(22659,38560)
(6176,9089)
(74726,69250)
(103631,105464)
(60514,81494)
(34038,107725)
(21539,20675)
(53424,108114)
(98048,86155)
(44483,109137)
(35121,15133)
(71127,70818)
(4333,10142)
(2096,51581)
(109223,108522)
(24178,27146)
(53798,20881)
(60423,23989)
(76552,50409)
(70845,74740)
(78437,50536)
(83148,70968)
(76985,74118)
(74155,70787)
(83353,8094)
(95183,81947)
(14507,8397)
(14332,20145)
(106664,38623)
(85241,22186)
(99394,81807)
(82159,79408)
(64958,92087)
(27618,19624)
(91106,10367)
(1096,1354)
(76977,74730)
(18197,7278)
(75014,74452)
(13393,22751)
(6074,22434)
(6800,79977)
(5406,14410)
(70532,71179)
(23499,41714)
(459,8342)
(94705,66489)
(30682,66766)
(105519,13258)
(4336,92238)
(12061,33580)
(9471,10218)
(40374,85347)
(89292,108526)
(72047,107725)
(83067,38346)
(70594,67388)
(106251,104627)
(90646,27622)
(63897,28810)
(100622,98991)
(74733,74448)
(26268,108790)
(76006,2175)
(48382,53395)
(73481,70461)
(73497,70265)
(74134,77683)
(28638,18985)
(15209,920)
(87130,54705)
(18494,32624)
(108047,71012)
(23890,25151)
(7259,65335)
(33643,33671)
(77666,72475)
(35205,9047)
(35240,15108)
(24190,12368)
(67008,611)
(9483,96487)
(74448,70498)
(66990,108415)
(51613,39333)
(3950,79268)
(75779,56826)
(105436,102460)
(70870,72299)
(70840,70498)
(5748,87558)
(74776,69616)
(25099,22725)
(68280,30678)
(26998,3122)
(73481,74448)
(13747,83834)
(85567,90116)
(49030,43138)
(67950,58344)
(70177,70189)
(1061,16784)
(16535,63308)
(74778,74707)
(15794,15803)
(106828,33895)
(14829,12455)
(28138,92048)
(74765,74107)
(35950,64244)
(18142,19018)
(15661,38507)
(70185,72279)
(109070,103778)
(56987,49237)
(35418,8186)
(45607,50510)
(59368,62289)
(106664,107581)
(22644,38688)
(33547,33914)
(70169,76989)
(50285,33656)
(53190,105545)
(51400,59731)
(60158,54585)
(21802,42173)
