Source,Target,Timestamp
4782,243,15
4782,3461,15
4782,4481,15
4782,6545,15
4789,3783,123
4798,12170,120
4817,34088,17
4833,3008,15
4833,6429,15
4833,8638,15
4833,15530,15
4833,28701,15
4833,72488,15
4850,60584,120
4865,87411,123
4874,22889,17
4877,43290,19
4881,7245,19
4883,10560,113
4894,5596,15
4894,57654,15
4894,100181,15
4897,86247,19
4903,12087,19
4905,549,116
4919,40236,116
4925,55564,19
4942,102817,17
4946,3212,15
4946,9076,15
4955,79438,17
4960,3681,113
4960,34644,17
4964,3221,17
4964,11561,17
4964,14697,17
4964,19139,17
4964,27619,17
4964,28267,17
4964,49479,17
4964,58693,17
4964,92224,17
4972,9175,15
4979,100139,116
4983,93604,15
4985,30869,19
4997,48102,15
5022,9952,15
5022,90623,15
5022,97630,15
5022,110845,15
5044,2898,15
5044,9011,15
5044,12928,15
5044,20994,15
5044,27131,15
5044,89074,15
5052,103181,15
5063,22765,15
5063,50567,15
5063,63835,15
5063,64738,15
5076,6905,17
5078,21386,19
5078,55862,123
5079,1930,15
5079,6391,15
5079,37242,15
5082,59379,15
5091,19266,113
5106,22635,123
5110,77466,113
5115,2617,19
5115,5535,19
5115,6280,19
5115,13425,19
5115,75899,19
5115,79412,19
5115,80203,19
5117,15540,123
5117,98966,113
5118,52799,120
5123,2121,116
5139,41693,15
5141,1436,15
5141,20968,15
5141,40980,15
5141,59851,15
5141,75560,15
5141,106634,15
5141,110965,15
5152,7346,15
5152,12380,120
5152,43942,15
5152,62553,15
5160,3892,15
5160,10339,15
5160,16144,15
5160,16493,15
5178,94526,15
5179,17778,113
5184,27937,123
5200,5363,17
5204,2295,15
5204,6064,15
5204,8165,15
5204,9697,15
5204,12640,15
5204,13203,15
5204,13847,15
5204,16536,15
5207,12592,15
5216,71002,113
5253,7864,15
5268,14809,19
5268,38958,19
5280,15912,116
5281,6534,123
5290,3561,15
5305,2494,15
5305,3541,15
5305,4083,15
5305,4593,15
5305,5091,15
5305,5744,15
5305,6280,15
5305,6747,15
5305,7963,15
5305,8849,15
5305,9638,15
5305,9946,15
5305,10958,15
5305,12721,15
5305,14360,15
5305,16042,15
5305,18197,15
5305,30033,15
5305,34962,15
5305,44885,15
5305,62650,15
5305,75375,15
5306,8378,123
5306,17101,15
5309,5205,17
5310,109455,17
5312,89231,113
5317,108690,113
5334,44960,15
5334,46705,15
5341,44731,120
5370,66040,116
5379,48238,113
5386,46567,17
5386,51688,17
5386,58597,17
5389,43568,15
5403,8014,17
5417,21098,19
5427,1869,19
5429,62642,15
5429,72662,15
5437,41489,15
5439,48090,120
5440,17003,15
5440,17593,15
5440,61456,15
5440,85243,15
5440,93626,15
5440,97800,15
5440,100610,15
5440,105042,15
5457,15272,116
5475,23871,123
5499,5174,17
5500,3501,15
5535,2494,15
5535,2617,15
5535,5091,15
5535,5115,15
5535,6280,15
5535,7278,15
5535,9116,15
5535,9946,15
5535,10728,15
5535,11990,15
5535,12958,15
5535,13425,15
5535,15330,15
5535,15516,15
5535,18598,15
5535,41664,15
5535,44885,15
5535,54585,15
5535,61915,15
5535,75899,15
5535,76824,15
5535,93933,15
5535,94621,15
5540,38244,120
5542,79023,17
5544,298,17
5544,10243,17
5544,11076,17
5544,15201,17
5544,15396,17
5544,15556,17
5544,22502,17
5544,25703,17
5544,42815,17
5544,45049,17
5544,45225,17
5544,45279,17
5544,51462,17
5544,61799,17
5544,63448,17
5544,78676,17
5544,86887,17
5544,88993,17
5544,111909,17
5553,29602,15
5554,76121,17
5558,47870,113
5565,10216,15
5575,2637,15
5575,15981,15
5593,94001,113
5594,40870,15
5597,7397,15
5606,5225,120
5613,85606,113
5622,12229,15
5627,33949,116
5641,4548,15
5647,41359,17
5659,23368,120
5668,43283,15
5677,2066,15
5677,4399,15
5677,4539,15
5677,4661,15
5677,5654,15
5677,7725,15
5677,8075,15
5677,8821,15
5677,9675,15
5677,10859,15
5677,12912,15
