,Source,Target
13355,3389,89415
13398,3397,57617
13480,3431,104355
13481,3432,51252
13482,3432,70752
13489,3434,53816
13547,3444,109682
13578,3458,15110
13592,3463,14748
13660,3479,45743
13661,3480,1471
13730,3493,37720
13734,3494,38806
14060,3575,4445
14073,3578,21491
14110,3584,14061
14227,3611,108690
14306,3632,109878
14311,3635,406
14421,3663,68332
14474,3673,107425
14492,3681,4960
14503,3682,26301
14504,3682,37226
14505,3682,90002
14506,3682,90420
14531,3694,7132
14547,3697,44207
14552,3697,105431
14571,3707,20729
14590,3714,1117
14591,3714,38126
14592,3714,39460
14593,3714,81942
14594,3714,91686
14637,3725,3099
14721,3751,95733
14792,3763,62177
14818,3769,23871
14827,3771,51
14828,3771,7306
14829,3771,34966
14830,3771,58199
14835,3773,17696
14836,3773,36633
14837,3773,69033
14838,3773,78198
14850,3777,51543
14851,3777,55946
14852,3777,56966
14853,3777,82036
14854,3777,91006
14934,3791,11694
14938,3791,20592
14941,3791,91507
14966,3799,5848
14967,3799,6225
14968,3799,8136
14969,3799,8775
14970,3799,14114
14971,3799,17391
14972,3799,21012
14973,3799,25454
14974,3799,32891
14975,3799,33263
14976,3799,33998
14977,3799,48973
14978,3799,78681
14979,3799,79935
14980,3799,84102
14981,3799,107262
15010,3809,5744
15023,3811,23309
15138,3856,39903
15168,3867,3440
15169,3867,48997
15170,3867,59393
15217,3883,15
15227,3884,43881
15251,3894,95458
15280,3904,110022
15289,3908,46878
15315,3911,3560
15316,3911,3898
15317,3911,3909
15318,3911,5439
15319,3911,9813
15320,3911,13828
15321,3911,16615
15322,3911,16909
15323,3911,23578
15324,3911,29067
15325,3911,37800
15326,3911,37820
15327,3911,40100
15328,3911,42456
15329,3911,48090
15330,3911,48350
15331,3911,57129
15332,3911,85381
15333,3911,97898
15334,3912,1568
15335,3912,91132
15375,3924,24506
15434,3936,62177
15496,3951,6515
15583,3976,4858
15589,3976,110044
15590,3978,8194
15591,3978,63835
15592,3978,64738
15675,3998,2729
15676,3998,3013
15677,3998,3646
15678,3998,3669
15679,3998,5325
15680,3998,6780
15681,3998,6917
15682,3998,6948
15683,3998,13707
15684,3998,14263
15685,3998,30115
15686,3998,73996
15717,4007,104963
15736,4013,227
15737,4014,3101
15762,4025,65072
15828,4027,94090
15843,4029,64258
15871,4035,56682
15903,4044,20314
15904,4044,62003
15905,4044,90561
15906,4044,90675
15945,4060,406
15946,4060,26799
15950,4062,4661
15951,4062,95341
15988,4081,77891
16076,4100,38527
16092,4105,11847
16114,4115,21876
16115,4116,36335
16150,4131,53974
16167,4136,60098
16202,4143,10632
16227,4149,6407
16228,4149,50028
16294,4165,101024
16349,4179,93526
16366,4186,4400
16377,4189,87810
16391,4191,30869
16413,4195,67148
16419,4198,1350
16420,4198,2997
16421,4198,30773
16422,4198,39106
16423,4198,81994
16438,4202,11385
16470,4208,7217
16483,4209,82552
16485,4209,100016
16547,4215,18137
16673,4237,22268
16690,4241,6653
16701,4247,11694
16737,4248,78884
16740,4250,830
16741,4250,2121
16742,4250,8721
16743,4250,17394
16744,4250,20883
16745,4250,29770
